code,county,net-exodus,flow-to-San-Bernardino-County,flow-to-San-Diego-County,flow-to-Shasta-County,flow-to-San-Luis-Obispo-County,flow-to-Mariposa-County,flow-to-Contra-Costa-County,flow-to-Santa-Clara-County,flow-to-Trinity-County,flow-to-San-Benito-County,flow-to-San-Francisco-County,flow-to-Alameda-County,flow-to-Tuolumne-County,flow-to-Kings-County,flow-to-Fresno-County,flow-to-Kern-County,flow-to-Lassen-County,flow-to-Los-Angeles-County,flow-to-Mendocino-County,flow-to-Stanislaus-County,flow-to-Monterey-County,flow-to-Sacramento-County,flow-to-Marin-County,flow-to-Alpine-County,flow-to-Plumas-County,flow-to-Napa-County,flow-to-Inyo-County,flow-to-Santa-Barbara-County,flow-to-Placer-County,flow-to-Siskiyou-County,flow-to-Yuba-County,flow-to-Sierra-County,flow-to-San-Joaquin-County,flow-to-San-Mateo-County,flow-to-Orange-County,flow-to-Madera-County,flow-to-Mono-County,flow-to-Nevada-County,flow-to-El-Dorado-County,flow-to-Riverside-County,flow-to-Modoc-County,flow-to-Glenn-County,flow-to-Lake-County,flow-to-Calaveras-County,flow-to-Yolo-County,flow-to-Solano-County,flow-to-Tehama-County,flow-to-Sonoma-County,flow-to-Imperial-County,flow-to-Sutter-County,flow-to-Butte-County,flow-to-Tulare-County,flow-to-Colusa-County,flow-to-Del-Norte-County,flow-to-Humboldt-County,flow-to-Merced-County,flow-to-Ventura-County,flow-to-Amador-County,flow-to-Santa-Cruz-County
87,Santa Cruz County,-2051,154,-376,149,298,2,-65,-968,,-8,14,-581,19,-45,-28,159,-2,-905,-8,-84,898,-99,69,,32,13,,11,-77,62,38,,-89,-491,-318,96,,-100,-277,-73,5,,20,207,42,144,24,235,-18,-24,-90,-78,,13,64,0,7,-22,
17,El Dorado County,-2075,159,92,-20,-74,0,-414,-658,,,146,-171,-6,-14,9,-79,22,-355,68,-61,-124,-183,-127,9,,-108,-10,116,-51,-91,-20,,-380,-52,97,,,74,,-95,,,,-20,-102,57,,7,1,22,-7,8,,,-75,-32,-59,149,277
35,Lassen County,-2103,-178,24,309,15,2,47,-21,-35,,-1,-160,-28,-135,12,-951,,-169,77,-12,-167,169,-382,,44,-44,,-5,-28,1,22,,-465,-13,-10,,,-24,-22,-76,30,18,12,,-21,81,27,-24,-15,-56,91,,,-76,20,18,-19,13,2
61,Placer County,-2113,-35,228,-202,177,6,-267,-585,9,-13,-87,-340,-2,-13,-57,20,28,29,13,-72,-160,-808,86,-65,75,-200,2,130,,12,405,,-72,-512,-725,13,,622,51,333,154,-28,-12,32,58,-386,155,-37,57,66,46,39,-80,-44,62,-86,-161,-49,77
47,Merced County,-2786,-40,-175,-25,10,-86,-37,-880,,-129,-110,-673,-79,30,179,259,-18,-888,-13,-404,222,105,-180,,,52,,2,86,,-4,,0,23,100,-203,,,32,-194,,4,-145,-4,27,10,2,27,61,-2,105,86,,22,19,,28,12,0
7,Butte County,-2897,92,-442,-390,104,,697,-189,-23,-76,37,-565,-59,-1,-103,-17,-91,-339,34,1,-2,-220,-61,,-183,63,,-135,-46,-38,-156,,21,-219,-157,-9,,46,7,-155,-30,-272,-19,15,53,-130,-9,-12,,57,,0,8,70,190,-105,-268,39,90
31,Kings County,-3149,229,-742,-16,17,,-72,48,10,,25,-137,-2,,-332,-1500,135,304,3,-113,-349,165,-120,,-9,-3,,4,13,41,-3,,-159,-81,-54,153,,,14,-23,4,4,,,117,23,,-173,-152,-5,1,-524,1,-6,96,-30,-23,27,45
97,Sonoma County,-3329,-37,-265,-31,-30,,171,-660,3,-34,-489,-208,42,173,-65,-114,24,-371,138,567,56,-37,-546,,10,-348,,99,37,-98,3,26,-103,-552,14,0,,5,-7,-8,-17,15,630,-61,-82,-760,127,,1,-91,12,-22,,19,-144,-27,-41,-18,-235
113,Yolo County,-4123,126,-410,-28,-99,-16,7,-716,,-23,21,-108,-56,-117,-82,-149,21,-1649,-27,-160,213,1391,-87,,11,35,,-26,-58,3,93,,-49,-207,-23,-22,,-23,102,-290,-105,-18,1,,,-380,36,82,-49,-434,-53,-188,-123,-37,107,-27,-498,7,-42
79,San Luis Obispo County,-5386,-9,-319,-10,,,-265,-287,,-35,12,-45,53,-17,-382,-646,-15,-709,-59,-54,-200,-289,-41,,-1,-60,10,-168,-177,13,90,,-612,288,-1068,-36,,-32,74,41,4,3,-20,9,99,136,15,30,-69,74,-104,-15,-24,-45,-47,-10,-85,-84,-298
95,Solano County,-5579,-84,-206,-326,-136,4,-1938,-592,-12,5,-403,-1510,82,-23,-67,-180,-81,-149,28,134,-45,1118,-467,,,-1779,1,-126,386,-13,79,,149,-684,93,-54,,29,-57,-123,-10,6,62,110,380,,-51,760,-156,0,130,-11,16,54,41,-10,186,5,-144
83,Santa Barbara County,-5830,-624,-688,-10,168,,-265,-423,,,-216,-180,12,-4,-20,-105,5,-2496,97,-106,48,-287,-11,,,-18,48,,-130,-13,-24,,-60,-1095,48,-22,14,18,-116,-10,,3,-14,28,26,126,,-99,-78,-39,135,-102,,,34,-2,623,5,-11
29,Kern County,-7168,-786,-73,-184,646,-7,-223,-169,-3,-66,44,10,152,1500,-182,,951,-7180,,-281,27,-94,-33,,13,-9,-82,105,-20,33,,,117,-138,-553,234,-6,118,79,-351,27,11,-44,5,149,180,19,114,-843,-8,17,70,,-23,43,-259,-127,71,-159
77,San Joaquin County,-7186,427,-669,-71,612,4,-1311,-1570,-30,-3,-886,-4413,-141,159,108,-117,465,-519,19,739,-46,21,59,,,-88,-10,60,72,-16,20,1,,-511,45,126,,-13,380,88,-7,-10,24,-111,49,-149,21,103,104,-45,-21,-397,-30,283,-32,0,-177,129,89
13,Contra Costa County,-7499,-30,-459,115,265,134,,-1270,-8,19,-2893,-6893,37,72,317,223,-47,-35,-102,535,82,784,-81,,-19,-33,,265,267,-5,62,,1311,-1544,-343,98,,194,414,17,,15,-129,-16,-7,1938,-79,-171,17,36,-697,-217,,93,65,37,-19,121,65
67,Sacramento County,-8963,892,-163,13,289,-45,-784,-1840,1,150,-684,-1423,-8,-165,30,94,-169,-1910,-2,-298,-269,,29,,-10,227,41,287,808,-70,157,-7,-21,-131,-243,-110,,-259,183,-400,-62,-12,-237,-88,-1391,-1118,-181,37,9,-284,220,-53,-49,-195,78,-105,24,155,99
71,San Bernardino County,-23855,,-2519,8,9,15,30,53,10,-359,62,189,-68,-229,65,786,178,-19140,-74,-166,-144,-892,-136,3,-14,-103,58,624,35,11,-28,,-427,184,-702,-2115,5,1,-159,1342,,109,71,1,-126,84,-57,37,-287,-132,-92,517,,0,12,40,-182,-89,-154
65,Riverside County,-25913,-1342,-5706,20,-41,-3,-17,-316,-20,-10,-169,-173,20,23,79,351,76,-11489,22,104,554,400,35,,-75,70,-58,10,-333,-38,-50,-10,-88,-249,-7969,75,14,-18,95,,17,12,12,-4,290,123,-25,8,-372,49,155,2,-2,-36,46,194,-202,-27,73
