GEOID,TREE-PCT,median-income
6037301601,5.218,32243
6037192520,4.579,32289
6037534301,2.513,32323
6037540203,9.642,32348
6037601700,6.007,32357
6037183610,10.253,32380
6037124204,7.422,32415
6037221210,5.693,32431
6037191000,4.651,32433
6037113234,9.295,32462
6037601900,6.66,32486
6037576301,4.16,32488
6037211910,2.354,32576
6037241201,7.214,32632
6037218210,5.861,32659
6037208902,2.258,32664
6037123304,8.845,32675
6037212610,6.933,32759
6037294421,6.292,32778
6037241202,6.5,32778
6037117510,8.683,32778
6037208802,11.103,32790
6037575201,5.608,32824
6037540600,9.834,32833
6037242000,9.18,32835
6037700101,11.508,32850
6037433102,4.998,32857
6037241400,7.105,32885
6059089104,5.12,32888
6037535503,10.76,32898
6037127605,14.603,32931
6037240900,4.634,32981
6037602103,3.956,33052
6037191620,4.92,33073
6037195710,10.813,33125
6037211802,2.695,33158
6037402801,3.671,33194
6037240600,6.245,33194
6037603005,4.277,33220
6037211921,2.295,33237
6037134305,8.346,33242
6037293202,4.099,33321
6037576901,6.475,33393
6037239802,5.631,33484
6037211122,5.557,33500
6037228500,5.073,33516
6037218900,14.166,33527
6037601801,6.028,33571
6037433302,3.956,33598
6037533402,6.081,33616
6037576503,5.356,33632
6037222100,7.291,33697
6037227010,4.615,33776
6037432402,6.532,33818
6037433305,10.574,33857
6037120020,7.16,33875
6059087803,4.269,33922
6037433501,2.847,34000
6037106407,5.345,34054
6037402303,9.978,34118
6037242200,11.054,34154
6037120030,3.767,34191
6037191820,3.337,34196
6037119340,2.393,34234
6037302504,7.363,34258
6037220100,8.656,34286
6037501803,8.882,34329
6037501504,9.35,34329
6037190902,3.995,34342
6037541606,9.121,34357
6037603704,4.411,34363
6037241001,6.014,34375
6037604001,6.342,34397
6037104610,4.838,34406
6037208620,5.731,34411
6059074403,2.611,34519
6059074501,9.501,34575
6037128601,15.132,34590
6037600902,6.7,34634
6037531504,4.831,34688
6037433402,5.801,34690
6037232400,5.594,34695
6037531101,3.117,34717
6037554204,6.748,34743
6037199800,5.234,34755
6037104822,4.755,34796
6037533701,3.199,34815
6037122420,4.945,34844
6037191500,4.481,34896
6037199202,19.227,34923
6059086601,6.368,34955
6037530101,9.252,34962
6037408724,5.68,35031
6037239602,5.222,35051
6037221402,10.699,35058
6037221602,5.357,35066
6037535001,4.1,35096
6037201503,9.851,35096
6037531102,7.047,35162
6037602507,2.451,35203
6037531602,3.069,35223
6037576200,2.378,35243
6059075003,7.178,35255
6037533601,5.004,35259
6037211201,4.411,35270
6037127104,10.204,35297
6037212410,4.759,35319
6037531902,5.751,35323
6037532900,5.419,35361
6037120104,3.398,35375
6037533703,3.459,35408
6037234501,10.574,35417
6037542602,6.288,35500
6071001503,4.996,35523
6037575103,6.12,35534
6037573201,5.274,35536
6037104203,7.161,35556
6037296600,5.818,35559
6037294610,11.851,35571
6037535605,9.973,35572
6037122121,9.667,35592
6037553802,5.104,35616
6037104404,6.365,35727
6037534102,6.753,35745
6037192510,4.322,35808
6037543202,6.292,35868
6037534101,5.277,35938
6037602104,4.141,35990
6037535803,11.231,35993
6037530102,7.907,35995
6037237202,4.328,36018
6037601502,5.329,36047
6037402803,7.505,36047
6037554104,6.438,36058
6037602505,3.838,36061
6037535101,6.026,36061
6037533107,6.53,36064
6037124105,9.588,36078
6037120400,10.189,36082
6037481711,4.043,36105
6037228100,3.806,36118
6037535501,5.959,36171
