,Competition Name,URL,State,Date,Type,City,Facility,Street Address,ZIP,Lat,Lon
319,Franklin County Chapter Competition ,https://www.mathcounts.org/franklin-county-chapter-competition,OH,02/08/2020,Chapter,Columbus,Columbus State Community College,,,39.9689258,-82.9871615
320,Hocking Valley Region Chapter Competition ,https://www.mathcounts.org/hocking-valley-region-chapter-competition,OH,02/22/2020,Chapter,Athens,Academic and Research Center,61 Oxbow Trail,45701,39.3266594,-82.1060054
321,Mahoning Valley Chapter Competition ,https://www.mathcounts.org/mahoning-valley-chapter-competition,OH,02/13/2020,Chapter,Youngstown,Kilkawly Center - Youngstown State University,1 University Plaza,44555,41.1069819,-80.64848649999999
322,Muskingum Valley Chapter Competition ,https://www.mathcounts.org/muskingum-valley-chapter-competition,OH,01/24/2020,Chapter,Zanesville,Zane State College/Ohio University Zanesville Campus Center,1555 Newark Rd.,43701,39.9617937,-82.0333168
323,North Central OH Regional Chapter Competition ,https://www.mathcounts.org/north-central-oh-regional-chapter-competition,OH,02/01/2020,Chapter,Ashland,Ashland University,401 College Avenue,44805,40.8620193,-82.3225811
324,Northeast OH Chapter Competition ,https://www.mathcounts.org/northeast-oh-chapter-competition,OH,02/15/2020,Chapter,Cleveland,Cleveland State University,2121 Euclid Avenue,44115,41.5025072,-81.6746268
325,Northwest OH Chapter Competition ,https://www.mathcounts.org/northwest-oh-chapter-competition,OH,02/21/2020,Chapter,Archbold,Northwest Ohio Educational Service Center,205 Nolan Parkway,43502,41.4957502,-84.3102795
326,Toledo Chapter Competition ,https://www.mathcounts.org/toledo-chapter-competition,OH,02/01/2020,Chapter,Toledo,The University of Toledo,"College of Eng., Nitschke Auditorium",,41.6551822,-83.6061115
327,Central OK Chapter Competition ,https://www.mathcounts.org/central-ok-chapter-competition,OK,01/25/2020,Chapter,Edmond,University of Central Oklahoma,,,35.657506,-97.4709491
328,East Central OK Chapter Competition ,https://www.mathcounts.org/east-central-ok-chapter-competition,OK,02/01/2020,Chapter,Tulsa,University of Tulsa,,,36.1520526,-95.94607529999999
329,Eastern OK Chapter Competition ,https://www.mathcounts.org/eastern-ok-chapter-competition,OK,02/22/2020,Chapter,Wilburton,Eastern Oklahoma State College,,,34.9134996,-95.3277088
330,Northwestern OK Chapter Competition ,https://www.mathcounts.org/northwestern-ok-chapter-competition,OK,02/08/2020,Chapter,Alva,Northwestern Oklahoma State University,,,36.7966974,-98.66829489999999
331,Southwest OK Chapter Competition ,https://www.mathcounts.org/southwest-ok-chapter-competition,OK,02/15/2020,Chapter,Lawton,Cameron University,2800 West Gore Blvd.,73505,34.6049663,-98.436244
332,Central OR Chapter Competition ,https://www.mathcounts.org/central-or-chapter-competition-0,OR,02/22/2020,Chapter,Bend,Oregon State University - Cascades,1500 SW Chandler Avenue,97702,44.04296799999999,-121.333477
333,Clackamas and Multnomah Chapter Competition ,https://www.mathcounts.org/clackamas-and-multnomah-chapter-competition,OR,02/22/2020,Chapter,Wilsonville,Mentor Graphics Commons,,,45.3204938,-122.7624463
334,Klamath Basin Chapter Competition ,https://www.mathcounts.org/klamath-basin-chapter-competition,OR,02/21/2020,Chapter,Klamath Falls,Oregon Institute of Technology,3201 Campus Dr.,97601,42.2573474,-121.7849109
335,Mid-Willamette Valley Chapter Competition ,https://www.mathcounts.org/mid-willamette-valley-chapter-competition,OR,02/01/2020,Chapter,Salem,Chemeketa Community College,4000 Lancaster Drive NE,97305,44.97944469999999,-122.978655
336,Northeast OR Chapter Competition ,https://www.mathcounts.org/northeast-or-chapter-competition,OR,02/15/2019,Chapter,Pendleton,Blue Mountain Community College,2411 NW Carden,97801,45.6765819,-118.816091
337,Oregon Region 1 Competition ,https://www.mathcounts.org/oregon-region-1-competition,OR,02/15/2020,Chapter,Hillsboro,"Intel Corporation, Jones Farm Conference Center",2111 NE 25th Avenue,97124,45.542876,-122.9617765
338,Oregon Region 2 Competition ,https://www.mathcounts.org/oregon-region-2-competition,OR,02/22/2020,Chapter,Wilsonville,Mentor Commons,8005 Boeckman Road,97070,45.3183968,-122.7616012
339,Rogue Valley Chapter Competition ,https://www.mathcounts.org/rogue-valley-chapter-competition,OR,02/22/2020,Chapter,Medford,North Medford High School,Media Ctr - 1900 North Keene Way Drive,97504,42.347131,-122.850634
340,Southwest OR Chapter Competition ,https://www.mathcounts.org/southwest-or-chapter-competition,OR,02/20/2020,Chapter,Coos Bay,Coos Bay Boys and Girls Club,333 Walnut Avenue,97420,43.3859668,-124.2506081
341,Anthracite Chapter Competition ,https://www.mathcounts.org/anthracite-chapter-competition,PA,02/01/2020,Chapter,Schuylkill Haven,"The Pennsylvania State University, Schuylkill Campus",200 University Drive,17972,40.6406264,-76.16764839999999
342,Beaver Chapter Competition ,https://www.mathcounts.org/beaver-chapter-competition,PA,02/01/2020,Chapter,Monaca,Penn State Beaver,100 University Drive,15061,40.6781967,-80.29638330000002
343,Blair and Central Chapter Competition ,https://www.mathcounts.org/blair-and-central-chapter-competition,PA,02/01/2020,Chapter,Altoona,Penn State Altoona,3000 Ivyside Park,16601,40.5410764,-78.4105926
344,Bucks County Chapter Competition ,https://www.mathcounts.org/bucks-county-chapter-competition,PA,02/08/2020,Chapter,Lansdale,Dock Mennonite Academy 9-12 Campus,1000 Forty Foot Road,19446,40.2552865,-75.3354367
345,Chester County Chapter Competition ,https://www.mathcounts.org/chester-county-chapter-competition,PA,02/01/2020,Chapter,Downingtown,Bishop Shanahan High School,220 Woodbine Road,PA 19335,40.0088725,-75.6875503
346,Delaware Chapter Competition ,https://www.mathcounts.org/delaware-chapter-competition,PA,02/08/2020,Chapter,Glen Mills,Garnet Valley Middle School,601 Smithbridge Road,19342,39.8690124,-75.5141175
347,Erie Chapter Competition ,https://www.mathcounts.org/erie-chapter-competition,PA,02/22/2020,Chapter,Erie,Gannon University,109 University Square,16541,42.1282555,-80.0867478
348,Fayette Chapter Competition ,https://www.mathcounts.org/fayette-chapter-competition,PA,02/06/2020,Chapter,Lemont Furnace,Penn State Fayette,2201 University Drive,15456,39.9459689,-79.6604265
349,Harrisburg Chapter Competition ,https://www.mathcounts.org/harrisburg-chapter-competition,PA,02/22/2020,Chapter,Middletown,Penn State Harrisburg,,17057,40.2040778,-76.7415475
350,Johnstown Chapter Competition ,https://www.mathcounts.org/johnstown-chapter-competition,PA,02/15/2020,Chapter,Johnstown,University of Pittsburgh-Johnstown,,15904,40.2674464,-78.83401730000001
351,Keystone Northeast Chapter ,https://www.mathcounts.org/keystone-northeast-chapter,PA,02/08/2020,Chapter,Kingston,Wyoming Valley West Middle School,201 Chester Street,18704,41.2616461,-75.8909663
352,Lehigh Valley Chapter Competition ,https://www.mathcounts.org/lehigh-valley-chapter-competition,PA,02/08/2020,Chapter,Allentown,Trexler Middle School,851 North 15th Street,18102,40.6108458,-75.4930918
353,Lincoln Chapter Competition ,https://www.mathcounts.org/lincoln-chapter-competition,PA,02/22/2020,Chapter,Millersville,Millersville University,21 S George St,17551,39.9970405,-76.3543706
354,Midwestern Chapter Competition ,https://www.mathcounts.org/midwestern-chapter-competition,PA,02/08/2020,Chapter,Grove City,Hoyt Hall - Grove City College,100 Campus Drive,16127,41.1546475,-80.07894139999999
355,Philadelphia Chapter Competition ,https://www.mathcounts.org/philadelphia-chapter-competition,PA,02/01/2020,Chapter,Philadelphia,Temple University - College of Engineering,1947 N 12th St.,19122,39.9824908,-75.15288699999999
