id,2010,2011,2012,2013,2014,2015,2016,2017,2018
6075031400,55079,56619,57015,54809,58644,59816,59487,64282,73750
6075032601,61224,69375,71806,74625,90187,92846,95854,100240,116128
6075032602,58494,56250,61293,57394,68607,70560,80357,91433,96932
6075032700,85446,85683,85482,82102,88297,99712,103648,111114,115457
6075032801,92778,80048,69271,71000,80766,83669,79764,110255,114290
6075032802,59792,60246,70278,81409,74634,80610,84946,90700,103861
6075032901,92706,78719,73313,74484,74769,83309,83169,98023,112500
6075032902,77037,97929,95435,89893,89063,89568,96208,93613,94545
6075033000,110486,107969,101071,93136,82694,82527,83896,96818,100907
6075033100,103589,112961,112125,112313,112226,119861,108018,111333,114783
6075033201,41250,37083,29531,26771,24338,22250,22895,28750,34706
6075033203,59875,66277,61818,67647,63143,67713,50946,50360,47188
6075033204,46190,41031,41813,48313,35724,43412,44922,59125,62701
6075035100,90114,94769,89401,96611,91712,99226,107482,125408,121156
6075035201,62350,66298,64770,66875,76059,77850,84817,92719,102652
6075035202,66958,68073,67529,71912,72047,70058,78542,83977,82593
6075035300,77936,72287,74519,72111,75799,73669,80352,81748,93375
6075035400,75100,71909,75300,80313,83105,80260,87598,97689,102500
6075040100,56812,55434,60481,64219,71172,82656,93875,96875,94589
6075040200,69564,82957,85641,82845,80408,77500,83867,98531,105507
6075042601,65107,76469,63011,56949,54353,57472,70100,81815,84805
6075042602,72819,63203,65750,66779,81341,82013,104943,113258,128375
6075042700,78059,79212,79762,56134,43587,52102,56765,66595,76118
6075042800,154063,184318,149750,217344,152143,143864,181125,161523,164750
6075045100,73750,72031,72781,74328,75216,82755,91206,101480,116429
6075045200,61781,63539,66367,68373,71063,72431,87664,92193,98864
6075047600,65682,70120,68854,77619,74091,74392,84625,89031,103676
6075047701,61647,63651,66136,70909,72817,74412,72981,82734,86848
6075047702,86894,92682,73424,85464,82986,72930,85769,96823,98958
6075047801,78056,73545,68194,76572,85739,79130,92881,102083,108525
6075047802,86563,88289,66023,79250,59458,68333,75091,80801,91250
6075047901,78643,75585,75085,65181,66950,66437,67407,82241,99750
6075047902,88158,82846,80495,76635,76208,73625,74500,83984,94688
6075060100,117500,116250,120438,140000,146000,164179,175259,195375,184934
6075060400,62245,58952,53590,52115,53077,52833,44200,47308,64153
6075060502,23333,23071,22295,22380,24028,23072,25434,27989,26350
6075060700,104545,111858,101322,108929,116920,107798,114597,141588,158667
6075061000,92958,94861,96823,101925,103454,108977,101667,101977,93287
6075061100,14270,13947,14484,13705,15546,16545,17218,16560,18990
6075061200,43293,50707,46104,50924,48917,51649,51818,60903,59866
6075061400,72143,70947,99861,106767,137610,138897,137469,125234,127813
6075061500,112328,109692,117824,118143,126887,127080,162690,173449,189329
6075980200,94479,75833,69135,78625,77750,145000,150000,149250,164250
6075980300,125313,127604,100938,122596,104583,125750,106944,131333,-
6075980401,-,-,-,-,-,-,-,-,-
6075980501,17781,17679,15900,13537,13983,16638,16473,16016,17750
6075980600,58365,62273,67083,77500,65313,(X),-,68958,62875
6075980900,149914,150227,156613,158015,78281,94000,101000,103750,-
6075990100,-,-,-,-,-,-,-,-,-
