id,GEOID,rent2010,rent2011,rent2012,rent2013,rent2014,rent2015,rent2016,rent2017,rent2018,increaseFrom2010to2018,pctIncreaseFrom2010to2018
6075026003,06075026003,1576,1413,1628,1581,1642,1683,1784,1633,1746,170,0.10786802
6075026004,06075026004,1108,1233,1307,1300,1412,1606,1782,1698,1800,692,0.624548736
6075026100,06075026100,1392,1229,1243,1295,1342,1409,1559,1725,1748,356,0.255747126
6075026200,06075026200,1331,1228,1174,1203,1358,1234,1395,1436,1574,243,0.182569497
6075026301,06075026301,1386,1412,1531,1437,1393,1359,1520,1212,1667,281,0.202741703
6075026302,06075026302,1418,1424,1398,1414,1486,1506,1445,1457,1479,61,0.043018336
6075026303,06075026303,1238,1309,1090,1328,1514,1703,1816,2050,1918,680,0.549273021
6075026401,06075026401,1046,1034,1107,1139,944,1026,1272,1382,1530,484,0.462715105
6075026402,06075026402,1339,1500,1392,1450,1628,1688,1803,1932,2380,1041,0.777445855
6075026403,06075026403,1188,1366,1142,1351,1241,1223,1338,1462,1468,280,0.235690236
6075026404,06075026404,721,788,864,635,1077,1068,1247,1410,1422,701,0.972260749
6075030101,06075030101,1671,1723,1763,1684,1669,1684,1824,1902,2179,508,0.304009575
6075030102,06075030102,1668,1595,1721,1826,1938,1966,1957,2087,2500,832,0.498800959
6075030201,06075030201,1391,1475,1605,1661,1695,1698,1741,1789,1862,471,0.33860532
6075030202,06075030202,1464,1528,1613,1684,1739,1727,1862,1960,2029,565,0.385928962
6075030301,06075030301,1652,1591,1651,1745,1748,1835,1925,2000,2149,497,0.300847458
6075030302,06075030302,"2,000+","2,000+","2,000+",1897,1539,2064,1536,1756,2119,#VALUE!,#VALUE!
6075030400,06075030400,1434,1378,1689,1415,1469,1541,1580,1800,1919,485,0.338214784
6075030500,06075030500,304,"2,000+","2,000+",1635,1477,null,-,378,-,#VALUE!,#VALUE!
6075030600,06075030600,"2,000+","2,000+","2,000+","2,000+","2,000+","3,500+","3,500+",3094,3197,#VALUE!,#VALUE!
6075030700,06075030700,"2,000+",1846,1763,"2,000+","2,000+",2621,2853,3134,3219,#VALUE!,#VALUE!
6075030800,06075030800,1686,1805,1478,1553,1868,1838,1621,2278,2270,584,0.346381969
6075030900,06075030900,"2,000+","2,000+","2,000+","2,000+","2,000+",2011,2506,1954,2796,#VALUE!,#VALUE!
6075031000,06075031000,1917,1145,1148,"2,000+","2,000+",2580,2552,2685,1894,-23,-0.011997913
6075031100,06075031100,1700,1895,1898,2000,"2,000+",2023,1991,2077,2311,611,0.359411765
6075031201,06075031201,759,1092,1240,1698,1637,1632,1611,1773,1664,905,1.192358366
6075031202,06075031202,1663,1652,1596,1773,1719,1722,1719,1713,1967,304,0.182802165
6075031301,06075031301,1926,1796,1814,1786,1466,1450,1577,2276,2533,607,0.315160955
6075031302,06075031302,1030,1186,1647,1859,1920,1911,2011,2144,2147,1117,1.084466019
6075031400,06075031400,1187,1110,1057,1115,1017,1135,1309,1429,1693,506,0.426284751
6075032601,06075032601,1301,1402,1445,1551,1623,1726,1772,1820,1872,571,0.438893159
6075032602,06075032602,1316,1417,1493,1500,1955,1869,1745,1874,1996,680,0.516717325
6075032700,06075032700,1426,1469,1562,1564,1634,1730,1880,2051,2339,913,0.640252454
6075032801,06075032801,1813,1664,1474,1455,1472,1757,1917,2095,2206,393,0.216767788
6075032802,06075032802,1589,1577,1730,"2,000+",1822,1977,2161,2183,2252,663,0.417243549
6075032901,06075032901,1847,1799,"2,000+",1891,1750,1905,2091,1991,2288,441,0.238765566
6075032902,06075032902,"2,000+","2,000+",1938,1394,1886,1416,1858,2325,2613,#VALUE!,#VALUE!
6075033000,06075033000,1769,1808,"2,000+",1953,1841,2002,2100,2165,2220,451,0.254946297
6075033100,06075033100,"2,000+","2,000+","2,000+","2,000+","2,000+","3,500+",3071,3250,3313,#VALUE!,#VALUE!
6075033201,06075033201,1548,1607,1485,1655,1715,1711,1764,1712,1680,132,0.085271318
6075033203,06075033203,1826,1820,1873,1977,1984,2023,2142,2153,2123,297,0.162650602
6075033204,06075033204,1695,1702,1810,1831,1818,1861,1851,1919,1908,213,0.125663717
6075035100,06075035100,1652,1700,1570,1771,1777,1811,1870,1940,1985,333,0.20157385
6075035201,06075035201,1388,1492,1616,1610,1618,1619,1795,1865,2040,652,0.469740634
6075035202,06075035202,1325,1396,1506,1644,1545,1570,1658,1683,1742,417,0.314716981
6075035300,06075035300,1338,1578,1711,1572,1615,1551,1700,1779,1885,547,0.408819133
6075035400,06075035400,1201,1346,1233,1477,1464,1430,1442,1415,1392,191,0.159034138
6075040100,06075040100,1379,1253,1464,1567,1516,1585,1659,1692,1798,419,0.303843365
6075040200,06075040200,1393,1491,1490,1382,1473,1468,1554,1686,1891,498,0.357501795
6075042601,06075042601,1369,1404,1453,1546,1490,1532,1692,1769,1828,459,0.335281227
6075042602,06075042602,1549,1562,1636,1583,1739,1667,1880,1898,2125,576,0.371852808
6075042700,06075042700,1362,1400,1508,1471,1458,1457,1486,1600,1730,368,0.270190896
6075042800,06075042800,1875,"2,000+","2,000+","2,000+",1965,2196,2170,2095,2152,277,0.147733333
6075045100,06075045100,1435,1565,1620,1536,1668,1692,1659,1829,2198,763,0.531707317
6075045200,06075045200,1392,1287,1553,1611,1607,1661,1713,1758,1838,446,0.320402299
6075047600,06075047600,1528,1651,1648,1742,1713,1799,1875,1999,2092,564,0.369109948
6075047701,06075047701,1175,1212,1352,1394,1413,1458,1551,1644,1713,538,0.45787234
6075047702,06075047702,1414,1462,1610,1595,1558,1625,1666,1652,1703,289,0.204384724
6075047801,06075047801,1632,1666,1548,1689,1717,1725,1743,1769,1893,261,0.159926471
6075047802,06075047802,1381,1433,1462,1458,1497,1586,1661,1839,1897,516,0.373642288
6075047901,06075047901,1427,1336,1343,1280,1359,1337,1380,1697,1767,340,0.238262088
6075047902,06075047902,1432,1516,1487,1650,1692,1693,1773,1892,1930,498,0.347765363
6075060100,06075060100,"2,000+","2,000+","2,000+","2,000+","2,000+",2963,3001,3267,3352,#VALUE!,#VALUE!
6075060400,06075060400,1363,1458,1422,1466,1583,1603,1645,1659,1707,344,0.252384446
6075060502,06075060502,462,379,397,390,416,349,440,367,338,-124,-0.268398268
6075060700,06075060700,"2,000+","2,000+","2,000+","2,000+","2,000+",2774,2842,2781,3017,#VALUE!,#VALUE!
6075061000,06075061000,1633,1802,1985,"2,000+","2,000+",2542,2728,3011,2349,716,0.438456828
6075061100,06075061100,451,490,505,467,470,506,510,528,572,121,0.268292683
6075061200,06075061200,1013,1075,1059,1090,1108,1245,1293,1355,960,-53,-0.052319842
6075061400,06075061400,1469,1572,1855,1908,"2,000+",1771,1537,1565,1614,145,0.098706603
6075061500,06075061500,"2,000+","2,000+","2,000+","2,000+","2,000+",2534,2722,2700,2714,#VALUE!,#VALUE!
6075980200,06075980200,1750,1861,"2,000+","2,000+","2,000+",2250,2250,2344,2324,574,0.328
6075980300,06075980300,888,896,1406,1519,1569,1772,1619,1650,1925,1037,1.167792793
6075980401,06075980401,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!
6075980501,06075980501,529,494,475,420,421,267,276,290,283,-246,-0.465028355
6075980600,06075980600,100-,"2,000+",1213,1164,1181,1090,1013,890,859,#VALUE!,#VALUE!
6075980900,06075980900,"2,000+","2,000+","2,000+","2,000+",1563,2019,2000,2425,2703,#VALUE!,#VALUE!
6075990100,06075990100,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!
